belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_interaction_strength_views,belief_in_interaction_strength_likes,recall_at_5_hybrid,recall_at_10_hybrid,recall_at_5_hybrid_or_fuzzy_hybrid,recall_at_10_hybrid_or_fuzzy_hybrid,recall_at_5_cf,recall_at_10_cf,recall_at_5_cb,recall_at_10_cb,recall_at_5_pop,recall_at_10_pop
7,7,5,1,6,9,0.1484848484848485,0.32727272727272727,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
9,7,8,5,1,8,0.12424242424242424,0.3181818181818182,0.17272727272727273,0.30606060606060603,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4212121212121212,0.4303030303030303
1,3,6,4,8,0,0.2636363636363636,0.36363636363636365,0.18181818181818182,0.3212121212121212,0.41818181818181815,0.4303030303030303,0.19393939393939394,0.22424242424242424,0.4121212121212121,0.4303030303030303
3,5,4,2,2,7,0.12727272727272726,0.3181818181818182,0.17575757575757575,0.31212121212121213,0.40606060606060607,0.4303030303030303,0.19393939393939394,0.22727272727272727,0.41515151515151516,0.4303030303030303
9,4,6,0,4,7,0.10909090909090909,0.30303030303030304,0.17272727272727273,0.3090909090909091,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
1,9,4,0,4,0,0.26666666666666666,0.36363636363636365,0.18181818181818182,0.3212121212121212,0.41515151515151516,0.4303030303030303,0.19393939393939394,0.22424242424242424,0.41818181818181815,0.4303030303030303
8,0,8,3,2,4,0.15757575757575756,0.3333333333333333,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41515151515151516,0.4303030303030303
6,8,1,6,2,8,0.13333333333333333,0.3151515151515151,0.17575757575757575,0.30606060606060603,0.403030303030303,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
9,4,8,1,2,8,0.10909090909090909,0.30303030303030304,0.17272727272727273,0.3090909090909091,0.403030303030303,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
4,9,1,8,2,3,0.10606060606060606,0.30606060606060603,0.17272727272727273,0.3090909090909091,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41515151515151516,0.4303030303030303
7,0,3,1,9,7,0.1393939393939394,0.3212121212121212,0.1787878787878788,0.31212121212121213,0.40606060606060607,0.4303030303030303,0.19393939393939394,0.22727272727272727,0.4212121212121212,0.4303030303030303
0,0,0,7,4,5,0.08787878787878788,0.2878787878787879,0.17272727272727273,0.3090909090909091,0.4121212121212121,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4121212121212121,0.4303030303030303
2,3,4,2,8,9,0.1303030303030303,0.3181818181818182,0.1787878787878788,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41515151515151516,0.4303030303030303
1,9,5,6,0,5,0.26666666666666666,0.36363636363636365,0.18181818181818182,0.3212121212121212,0.3787878787878788,0.4303030303030303,0.1303030303030303,0.13636363636363635,0.39090909090909093,0.4303030303030303
4,1,1,9,3,5,0.08787878787878788,0.3,0.17272727272727273,0.30606060606060603,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4303030303030303,0.4303030303030303
7,8,3,5,5,5,0.09696969696969697,0.30303030303030304,0.17272727272727273,0.30606060606060603,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4212121212121212,0.4303030303030303
9,6,6,9,5,1,0.10303030303030303,0.31212121212121213,0.17272727272727273,0.3090909090909091,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4212121212121212,0.4303030303030303
1,8,9,8,4,6,0.11515151515151516,0.31212121212121213,0.17272727272727273,0.30606060606060603,0.4121212121212121,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
9,2,7,4,0,1,0.1393939393939394,0.3242424242424242,0.18484848484848485,0.30606060606060603,0.38484848484848483,0.4303030303030303,0.1303030303030303,0.13636363636363635,0.39090909090909093,0.4303030303030303
2,7,3,0,2,5,0.14242424242424243,0.32727272727272727,0.17272727272727273,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
4,1,2,7,8,5,0.08787878787878788,0.3,0.17272727272727273,0.30606060606060603,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4121212121212121,0.4303030303030303
1,9,3,8,7,4,0.26666666666666666,0.36363636363636365,0.18181818181818182,0.3212121212121212,0.40606060606060607,0.4303030303030303,0.19393939393939394,0.22727272727272727,0.4121212121212121,0.4303030303030303
5,9,2,0,8,2,0.13636363636363635,0.3090909090909091,0.1787878787878788,0.3181818181818182,0.40606060606060607,0.4303030303030303,0.19393939393939394,0.22727272727272727,0.4121212121212121,0.4303030303030303
